"token","lemma"
"hither","hither"
"hopefully","hopefully"
"how","how"
"howbeit","howbeit"
"however","however"
"i","i"
"'d","have"
"'ll","will"
"'m","be"
"'ve","have"
"ie","ie"
"if","if"
"ignored","ignore"
"immediate","immediate"
"in","in"
"inasmuch","inasmuch"
"inc","inc"
"indeed","indeed"
"indicate","indicate"
"indicated","indicate"
"indicates","indicate"
"inner","inner"
"insofar","insofar"
"instead","instead"
"into","into"
"inward","inward"
"is","be"
"it","it"
"its","its"
"itself","itself"
"j","j"
"just","just"
"k","k"
"keep","keep"
"keeps","keep"
"kept","keep"
"know","know"
"knows","know"
"known","know"
"l","l"
"last","last"
"lately","lately"
"later","later"
"latter","latter"
"latterly","latterly"
"least","least"
"less","less"
"lest","l"
"let","let"
"like","like"
"liked","like"
"likely","likely"
"little","little"
"look","look"
"looking","look"
"looks","look"
"ltd","ltd"
"m","m"
"mainly","mainly"
"many","many"
"may","may"
"maybe","maybe"
"me","me"
"mean","mean"
"meanwhile","meanwhile"
"merely","merely"
"might","may"
"more","more"
"moreover","moreover"
"most","most"
"mostly","mostly"
"much","much"
"must","must"
"my","my"
"myself","myself"
"n","n"
"name","name"
"namely","namely"
"nd","nd"
"near","near"
"nearly","nearly"
"necessary","necessary"
"need","need"
"needs","need"
"neither","neither"
"never","never"
"nevertheless","nevertheless"
"new","new"
"next","next"
"nine","nine"
"no","no"
"nobody","nobody"
"non","non"
"none","none"
"noone","noone"
"nor","nor"
"normally","normally"
"nothing","nothing"
"novel","novel"
"now","now"
"nowhere","nowhere"
"o","o"
"obviously","obviously"
"of","of"
"off","off"
"often","often"
"oh","oh"
"ok","ok"
"okay","okay"
"old","old"
"once","once"
"one","one"
"ones","one"
"only","only"
"onto","onto"
"or","or"
"other","other"
"others","other"
"otherwise","otherwise"
"ought","ought"
"our","our"
"ours","ours"
"ourselves","ourselves"
"out","out"
"outside","outside"
"over","over"
"overall","overall"
"own","own"
"p","p"
"particular","particular"
"particularly","particularly"
"per","per"
"perhaps","perhaps"
"placed","place"
"please","please"
"plus","plus"
"possible","possible"
"presumably","presumably"
"probably","probably"
"provides","provide"
"q","q"
"que","que"
"quite","quite"
"qv","qv"
"r","r"
"rather","rather"
"rd","rd"
"re","re"
"really","really"
"reasonably","reasonably"
"regarding","regard"
"regardless","regardless"
"regards","regard"
"relatively","relatively"
"respectively","respectively"
"right","right"
"s","s"
"said","say"
"same","same"
"saw","see"
"say","say"
"saying","say"
"says","say"
"second","second"
"secondly","secondly"
"see","see"
"seeing","see"
"seem","seem"
"seemed","seem"
"seeming","seeming"
"seems","seem"
"seen","see"
"self","self"
"selves","self"
"sensible","sensible"
"sent","send"
"serious","serious"
"seriously","seriously"
"seven","seven"
"several","several"
"shall","shall"
"she","she"
"should","should"
"since","since"
"six","six"
"so","so"
"some","some"
"somebody","somebody"
"somehow","somehow"
"someone","someone"
"something","something"
"sometime","sometime"
"sometimes","sometimes"
"somewhat","somewhat"
"somewhere","somewhere"
"soon","soon"
"sorry","sorry"
"specified","specify"
"specify","specify"
"specifying","specify"
"still","still"
"sub","sub"
"such","such"
"sup","sup"
"sure","sure"
"t","t"
"take","take"
"taken","take"
"tell","tell"
"tends","tend"
"th","th"
"than","than"
"thank","thank"
"thanks","thanks"
"thanx","thanx"
"that","that"
"the","the"
"their","their"
"theirs","theirs"
"them","them"
"themselves","themselves"
"then","then"
"thence","thence"
"there","there"
"thereafter","thereafter"
"thereby","thereby"
"therefore","therefore"
"therein","therein"
"thereupon","thereupon"
"these","these"
"they","they"
"'re","be"
"think","think"
"third","third"
"this","this"
"thorough","thorough"
"thoroughly","thoroughly"
"those","those"
"though","though"
"three","three"
"through","through"
"throughout","throughout"
"thru","thru"
"thus","thus"
"to","to"
"together","together"
"too","too"
"took","take"
"toward","toward"
"towards","towards"
"tried","try"
"tries","try"
"truly","truly"
"try","try"
"trying","try"
"twice","twice"
"two","two"
"u","u"
"un","un"
"under","under"
"unfortunately","unfortunately"
"unless","unless"
"unlikely","unlikely"
"until","until"
"unto","unto"
"up","up"
"upon","upon"
"us","us"
"use","use"
"used","use"
"useful","useful"
"uses","use"
"using","use"
"usually","usually"
"uucp","uucp"
"v","v"
"value","value"
"various","various"
"very","very"
"via","via"
"viz","viz"
"vs","vs"
"w","w"
"want","want"
"wants","want"
"was","be"
"way","way"
"we","we"
"'d","'d"
"welcome","welcome"
"well","well"
"went","go"
"were","be"
"what","what"
"whatever","whatever"
"when","when"
"whence","whence"
"whenever","whenever"
"where","where"
"whereafter","whereafter"
"whereas","whereas"
"whereby","whereby"
"wherein","wherein"
"whereupon","whereupon"
"wherever","wherever"
"whether","whether"
"which","which"
"while","while"
"whither","whither"
"who","who"
"whoever","whoever"
"whole","whole"
"whom","whom"
"whose","whose"
"why","why"
"will","will"
"willing","willing"
"wish","wish"
"with","with"
"within","within"
"without","without"
"wo","will"
"wonder","wonder"
"would","would"
"x","x"
"y","y"
"yes","yes"
"yet","yet"
"you","you"
"your","your"
"yours","yours"
"yourself","yourself"
"yourselves","yourself"
"z","z"
"zero","zero"
